season,round,pick_in_round,overall_pick,draft_slot,slot_owner_roster_id,roster_id,traded_pick,user_id,manager,team_name,player_id,player_name,position,nfl_team,years_exp,is_keeper
2024,9,6,86,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,5892,David Montgomery,RB,DET,5,True
2024,9,7,87,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,11635,Ladd McConkey,WR,LAC,0,False
2024,9,8,88,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,8139,Zamir White,RB,LV,2,False
2024,9,9,89,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,5849,Kyler Murray,QB,ARI,5,True
2024,9,10,90,10,10,10,0,475399371639222272,cc5597,The Problems,2749,Raheem Mostert,RB,MIA,9,False
2024,10,10,91,10,10,10,0,475399371639222272,cc5597,The Problems,8183,Brock Purdy,QB,SF,2,True
2024,10,9,92,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,5967,Tony Pollard,RB,TEN,5,False
2024,10,8,93,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,11637,Keon Coleman,WR,BUF,0,False
2024,10,7,94,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,9488,Jaxon Smith-Njigba,WR,SEA,1,False
2024,10,6,95,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,11604,Brock Bowers,TE,LV,0,False
2024,10,5,96,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,1373,Geno Smith,QB,SEA,11,False
2024,10,4,97,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,9997,Zay Flowers,WR,BAL,1,True
2024,10,3,98,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,5937,Diontae Johnson,WR,CAR,5,False
2024,10,2,99,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,8228,Jaylen Warren,RB,PIT,2,False
2024,10,1,100,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,6804,Jordan Love,QB,GB,4,True
2024,11,1,101,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,11631,Brian Thomas,WR,JAX,0,False
2024,11,2,102,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,1426,DeAndre Hopkins,WR,TEN,11,False
2024,11,3,103,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,8167,Christian Watson,WR,GB,2,False
2024,11,4,104,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,11583,Jonathon Brooks,RB,CAR,0,False
2024,11,5,105,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,4988,Nick Chubb,RB,CLE,6,False
2024,11,6,106,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,4663,Austin Ekeler,RB,WAS,7,False
2024,11,7,107,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,6845,Zack Moss,RB,CIN,4,False
2024,11,8,108,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,6130,Devin Singletary,RB,NYG,5,False
2024,11,9,109,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,8148,Jameson Williams,WR,DET,2,False
2024,11,10,110,10,10,10,0,475399371639222272,cc5597,The Problems,9999,Will Levis,QB,TEN,1,False
2024,12,10,111,10,10,10,0,475399371639222272,cc5597,The Problems,9758,C.J. Stroud,QB,HOU,1,True
2024,12,9,112,9,1,1,0,608781531883859968,bgreenblatt,Love Thy Nabers,7588,Javonte Williams,RB,DEN,3,False
2024,12,8,113,8,5,5,0,716698629934481408,kaufmannc,Clownin’ Around,4017,Deshaun Watson,QB,CLE,7,False
2024,12,7,114,7,8,8,0,736803054736822272,TylerWicks,Dont stop Bo-lievin’,11563,Bo Nix,QB,DEN,0,False
2024,12,6,115,6,6,6,0,736740647758938112,JSanDusky69,Respect Your Elders,5248,Gus Edwards,RB,LAC,6,False
2024,12,5,116,5,3,3,0,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,10236,Dalton Kincaid,TE,BUF,1,True
2024,12,4,117,4,7,7,0,735974647736213504,KingTowsk,Leeroy Jenkins,5844,T.J. Hockenson,TE,MIN,5,False
2024,12,3,118,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,9508,Tyjae Spears,RB,TEN,1,False
2024,12,2,119,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,8154,Brian Robinson,RB,WAS,2,False
2024,12,1,120,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,4033,David Njoku,TE,CLE,7,False
2024,13,1,121,1,2,2,0,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,9224,Chase Brown,RB,CIN,1,False
2024,13,2,122,2,4,4,0,736744257179770880,jdrobny,Stick in the Mud,1264,Justin Tucker,K,BAL,12,False
2024,13,3,123,3,9,9,0,710284244835979264,brockhusk,Brauk Tua Spit On That,5045,Courtland Sutton,WR,DEN,6,False
