season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2023,12,5,kaufmannc,London Has Fallen,128.23,8,TylerWicks,163.14,L,False
2023,12,6,JSanDusky69,Tua Girls One Kupp,114.88,4,jdrobny,141.3,L,False
2023,12,7,KingTowsk,Leeroy Jenkins,154.02,1,bgreenblatt,175.47,L,False
2023,12,8,TylerWicks,Christian Mingle,163.14,5,kaufmannc,128.23,W,False
2023,12,9,brockhusk,Toss My Saleh’d,197.4,2,Erjohnson14,159.09,W,False
2023,12,10,cc5597,Bill Ninerkingz,111.52,3,MaxSirianni,116.32,L,False
2023,13,1,bgreenblatt,Taylor Park Boys,146.13,5,kaufmannc,96.24,W,False
2023,13,2,Erjohnson14,Johnson’s Lil Johnson,144.98,3,MaxSirianni,180.53,L,False
2023,13,3,MaxSirianni,I hate Joe Burrow,180.53,2,Erjohnson14,144.98,W,False
2023,13,4,jdrobny,B2B,136.41,7,KingTowsk,164.08,L,False
2023,13,5,kaufmannc,London Has Fallen,96.24,1,bgreenblatt,146.13,L,False
2023,13,6,JSanDusky69,Tua Girls One Kupp,126.61,9,brockhusk,140.16,L,False
2023,13,7,KingTowsk,Leeroy Jenkins,164.08,4,jdrobny,136.41,W,False
2023,13,8,TylerWicks,Christian Mingle,150.3,10,cc5597,103.12,W,False
2023,13,9,brockhusk,Toss My Saleh’d,140.16,6,JSanDusky69,126.61,W,False
2023,13,10,cc5597,Bill Ninerkingz,103.12,8,TylerWicks,150.3,L,False
2023,14,1,bgreenblatt,Taylor Park Boys,108.52,3,MaxSirianni,148.06,L,False
2023,14,2,Erjohnson14,Johnson’s Lil Johnson,133.56,7,KingTowsk,150.02,L,False
2023,14,3,MaxSirianni,I hate Joe Burrow,148.06,1,bgreenblatt,108.52,W,False
2023,14,4,jdrobny,B2B,136.28,5,kaufmannc,142.24,L,False
2023,14,5,kaufmannc,London Has Fallen,142.24,4,jdrobny,136.28,W,False
2023,14,6,JSanDusky69,Tua Girls One Kupp,152.36,8,TylerWicks,118.4,W,False
2023,14,7,KingTowsk,Leeroy Jenkins,150.02,2,Erjohnson14,133.56,W,False
2023,14,8,TylerWicks,Christian Mingle,118.4,6,JSanDusky69,152.36,L,False
2023,14,9,brockhusk,Toss My Saleh’d,135.51,10,cc5597,106.26,W,False
2023,14,10,cc5597,Bill Ninerkingz,106.26,9,brockhusk,135.51,L,False
2023,15,1,bgreenblatt,Taylor Park Boys,116.4,2,Erjohnson14,110.46,W,True
2023,15,2,Erjohnson14,Johnson’s Lil Johnson,110.46,1,bgreenblatt,116.4,L,True
2023,15,3,MaxSirianni,I hate Joe Burrow,140.97,6,JSanDusky69,148.23,L,True
2023,15,4,jdrobny,B2B,152.29,8,TylerWicks,198.66,L,True
2023,15,5,kaufmannc,London Has Fallen,149.39,10,cc5597,164.11,L,True
2023,15,6,JSanDusky69,Tua Girls One Kupp,148.23,3,MaxSirianni,140.97,W,True
2023,15,8,TylerWicks,Christian Mingle,198.66,4,jdrobny,152.29,W,True
2023,15,10,cc5597,Bill Ninerkingz,164.11,5,kaufmannc,149.39,W,True
2023,16,1,bgreenblatt,Taylor Park Boys,129.94,7,KingTowsk,120.74,W,True
2023,16,2,Erjohnson14,Johnson’s Lil Johnson,144.16,4,jdrobny,157.31,L,True
2023,16,3,MaxSirianni,I hate Joe Burrow,185.0,5,kaufmannc,125.65,W,True
2023,16,4,jdrobny,B2B,157.31,2,Erjohnson14,144.16,W,True
2023,16,5,kaufmannc,London Has Fallen,125.65,3,MaxSirianni,185.0,L,True
2023,16,6,JSanDusky69,Tua Girls One Kupp,160.82,10,cc5597,69.79,W,True
2023,16,7,KingTowsk,Leeroy Jenkins,120.74,1,bgreenblatt,129.94,L,True
2023,16,8,TylerWicks,Christian Mingle,167.95,9,brockhusk,159.45,W,True
2023,16,9,brockhusk,Toss My Saleh’d,159.45,8,TylerWicks,167.95,L,True
2023,16,10,cc5597,Bill Ninerkingz,69.79,6,JSanDusky69,160.82,L,True
2023,17,1,bgreenblatt,Taylor Park Boys,130.46,8,TylerWicks,122.35,W,True
2023,17,7,KingTowsk,Leeroy Jenkins,161.54,9,brockhusk,183.51,L,True
2023,17,8,TylerWicks,Christian Mingle,122.35,1,bgreenblatt,130.46,L,True
2023,17,9,brockhusk,Toss My Saleh’d,183.51,7,KingTowsk,161.54,W,True
2024,1,1,bgreenblatt,Love Thy Nabers,130.76,2,Erjohnson14,203.93,L,False
2024,1,2,Erjohnson14,Johnson’s Lil Johnson,203.93,1,bgreenblatt,130.76,W,False
2024,1,3,MaxSirianni,Joeybagofdonuts2.0,146.08,6,JSanDusky69,149.81,L,False
2024,1,4,jdrobny,Stick in the Mud,111.46,9,brockhusk,117.23,L,False
2024,1,5,kaufmannc,Clownin’ Around,145.66,8,TylerWicks,115.02,W,False
2024,1,6,JSanDusky69,Respect Your Elders,149.81,3,MaxSirianni,146.08,W,False
2024,1,7,KingTowsk,Leeroy Jenkins,117.73,10,cc5597,135.05,L,False
2024,1,8,TylerWicks,Dont stop Bo-lievin’,115.02,5,kaufmannc,145.66,L,False
2024,1,9,brockhusk,Brauk Tua Spit On That,117.23,4,jdrobny,111.46,W,False
2024,1,10,cc5597,The Problems,135.05,7,KingTowsk,117.73,W,False
2024,2,1,bgreenblatt,Love Thy Nabers,199.69,6,JSanDusky69,113.48,W,False
2024,2,2,Erjohnson14,Johnson’s Lil Johnson,143.84,3,MaxSirianni,107.07,W,False
2024,2,3,MaxSirianni,Joeybagofdonuts2.0,107.07,2,Erjohnson14,143.84,L,False
2024,2,4,jdrobny,Stick in the Mud,116.25,10,cc5597,151.66,L,False
2024,2,5,kaufmannc,Clownin’ Around,116.04,9,brockhusk,141.22,L,False
2024,2,6,JSanDusky69,Respect Your Elders,113.48,1,bgreenblatt,199.69,L,False
2024,2,7,KingTowsk,Leeroy Jenkins,141.32,8,TylerWicks,128.72,W,False
2024,2,8,TylerWicks,Dont stop Bo-lievin’,128.72,7,KingTowsk,141.32,L,False
2024,2,9,brockhusk,Brauk Tua Spit On That,141.22,5,kaufmannc,116.04,W,False
2024,2,10,cc5597,The Problems,151.66,4,jdrobny,116.25,W,False
2024,3,1,bgreenblatt,Love Thy Nabers,118.16,3,MaxSirianni,140.32,L,False
2024,3,2,Erjohnson14,Johnson’s Lil Johnson,171.77,6,JSanDusky69,137.66,W,False
2024,3,3,MaxSirianni,Joeybagofdonuts2.0,140.32,1,bgreenblatt,118.16,W,False
2024,3,4,jdrobny,Stick in the Mud,102.32,7,KingTowsk,166.59,L,False
2024,3,5,kaufmannc,Clownin’ Around,112.04,10,cc5597,111.93,W,False
2024,3,6,JSanDusky69,Respect Your Elders,137.66,2,Erjohnson14,171.77,L,False
2024,3,7,KingTowsk,Leeroy Jenkins,166.59,4,jdrobny,102.32,W,False
2024,3,8,TylerWicks,Dont stop Bo-lievin’,113.81,9,brockhusk,106.21,W,False
2024,3,9,brockhusk,Brauk Tua Spit On That,106.21,8,TylerWicks,113.81,L,False
2024,3,10,cc5597,The Problems,111.93,5,kaufmannc,112.04,L,False
2024,4,1,bgreenblatt,Love Thy Nabers,156.39,4,jdrobny,143.43,W,False
2024,4,2,Erjohnson14,Johnson’s Lil Johnson,140.28,9,brockhusk,127.7,W,False
2024,4,3,MaxSirianni,Joeybagofdonuts2.0,155.83,5,kaufmannc,148.3,W,False
2024,4,4,jdrobny,Stick in the Mud,143.43,1,bgreenblatt,156.39,L,False
2024,4,5,kaufmannc,Clownin’ Around,148.3,3,MaxSirianni,155.83,L,False
2024,4,6,JSanDusky69,Respect Your Elders,113.15,7,KingTowsk,164.26,L,False
2024,4,7,KingTowsk,Leeroy Jenkins,164.26,6,JSanDusky69,113.15,W,False
2024,4,8,TylerWicks,Dont stop Bo-lievin’,110.45,10,cc5597,115.62,L,False
2024,4,9,brockhusk,Brauk Tua Spit On That,127.7,2,Erjohnson14,140.28,L,False
